fecha,mes,anio,tipo_pago,afluencia
2022-06-07,Junio,2022,Gratuidad,6301
2022-06-08,Junio,2022,Prepago,76630
2022-06-08,Junio,2022,Gratuidad,6683
2022-06-09,Junio,2022,Prepago,72009
2022-06-09,Junio,2022,Gratuidad,5639
2022-06-10,Junio,2022,Prepago,72540
2022-06-10,Junio,2022,Gratuidad,6329
2022-06-11,Junio,2022,Prepago,48439
2022-06-11,Junio,2022,Gratuidad,3911
2022-06-12,Junio,2022,Prepago,27362
2022-06-12,Junio,2022,Gratuidad,3060
2022-06-13,Junio,2022,Prepago,73146
2022-06-13,Junio,2022,Gratuidad,6197
2022-06-14,Junio,2022,Prepago,67422
2022-06-14,Junio,2022,Gratuidad,6161
2022-06-15,Junio,2022,Prepago,69276
2022-06-15,Junio,2022,Gratuidad,5637
2022-06-16,Junio,2022,Prepago,72361
2022-06-16,Junio,2022,Gratuidad,6346
2022-06-17,Junio,2022,Prepago,73570
2022-06-17,Junio,2022,Gratuidad,6316
2022-06-18,Junio,2022,Prepago,51412
2022-06-18,Junio,2022,Gratuidad,4405
2022-06-19,Junio,2022,Prepago,31891
2022-06-19,Junio,2022,Gratuidad,2638
2022-06-20,Junio,2022,Prepago,68773
2022-06-20,Junio,2022,Gratuidad,6057
2022-06-21,Junio,2022,Prepago,68207
2022-06-21,Junio,2022,Gratuidad,6220
2022-06-22,Junio,2022,Prepago,67755
2022-06-22,Junio,2022,Gratuidad,5810
2022-06-23,Junio,2022,Prepago,66605
2022-06-23,Junio,2022,Gratuidad,5622
2022-06-24,Junio,2022,Prepago,68895
2022-06-24,Junio,2022,Gratuidad,6170
2022-06-25,Junio,2022,Prepago,50916
2022-06-25,Junio,2022,Gratuidad,4083
2022-06-26,Junio,2022,Prepago,29936
2022-06-26,Junio,2022,Gratuidad,2627
2022-06-27,Junio,2022,Prepago,65249
2022-06-27,Junio,2022,Gratuidad,5379
2022-06-28,Junio,2022,Prepago,65276
2022-06-28,Junio,2022,Gratuidad,5913
2022-06-29,Junio,2022,Prepago,65269
2022-06-29,Junio,2022,Gratuidad,4806
2022-06-30,Junio,2022,Prepago,64845
2022-06-30,Junio,2022,Gratuidad,6015
2022-07-01,Julio,2022,Prepago,64764
2022-07-01,Julio,2022,Gratuidad,6214
2022-07-02,Julio,2022,Prepago,49907
2022-07-02,Julio,2022,Gratuidad,4383
2022-07-03,Julio,2022,Prepago,26574
2022-07-03,Julio,2022,Gratuidad,2972
2022-07-04,Julio,2022,Prepago,57605
2022-07-04,Julio,2022,Gratuidad,5515
2022-07-05,Julio,2022,Prepago,66425
2022-07-05,Julio,2022,Gratuidad,5679
2022-07-06,Julio,2022,Prepago,62393
2022-07-06,Julio,2022,Gratuidad,5925
2022-07-07,Julio,2022,Prepago,60938
2022-07-07,Julio,2022,Gratuidad,5637
2022-07-08,Julio,2022,Prepago,60531
2022-07-08,Julio,2022,Gratuidad,5814
2022-07-09,Julio,2022,Prepago,46396
2022-07-09,Julio,2022,Gratuidad,3407
2022-07-10,Julio,2022,Prepago,26473
2022-07-10,Julio,2022,Gratuidad,3039
2022-07-11,Julio,2022,Prepago,59348
2022-07-11,Julio,2022,Gratuidad,5731
2022-07-12,Julio,2022,Prepago,60806
2022-07-12,Julio,2022,Gratuidad,6242
2022-07-13,Julio,2022,Prepago,65117
2022-07-13,Julio,2022,Gratuidad,5414
2022-07-14,Julio,2022,Prepago,58633
2022-07-14,Julio,2022,Gratuidad,5852
2022-07-15,Julio,2022,Prepago,65685
2022-07-15,Julio,2022,Gratuidad,5531
2022-07-16,Julio,2022,Prepago,33267
2022-07-16,Julio,2022,Gratuidad,3311
2022-07-17,Julio,2022,Prepago,26788
2022-07-17,Julio,2022,Gratuidad,3009
2022-07-18,Julio,2022,Prepago,57153
2022-07-18,Julio,2022,Gratuidad,5703
2022-07-19,Julio,2022,Prepago,59021
2022-07-19,Julio,2022,Gratuidad,5140
2022-07-20,Julio,2022,Prepago,58527
2022-07-20,Julio,2022,Gratuidad,5475
2022-07-21,Julio,2022,Prepago,58372
2022-07-21,Julio,2022,Gratuidad,5613
2022-07-22,Julio,2022,Prepago,58735
2022-07-22,Julio,2022,Gratuidad,5263
2022-07-23,Julio,2022,Prepago,48232
2022-07-23,Julio,2022,Gratuidad,4236
2022-07-24,Julio,2022,Prepago,27100
2022-07-24,Julio,2022,Gratuidad,3380
2022-07-25,Julio,2022,Prepago,57305
2022-07-25,Julio,2022,Gratuidad,5373
2022-07-26,Julio,2022,Prepago,59205
2022-07-26,Julio,2022,Gratuidad,5708
2022-07-27,Julio,2022,Prepago,59241
2022-07-27,Julio,2022,Gratuidad,5358
2022-07-28,Julio,2022,Prepago,58089
2022-07-28,Julio,2022,Gratuidad,6563
2022-07-29,Julio,2022,Prepago,59376
2022-07-29,Julio,2022,Gratuidad,5372
2022-07-30,Julio,2022,Prepago,47834
2022-07-30,Julio,2022,Gratuidad,4169
2022-07-31,Julio,2022,Prepago,27658
2022-07-31,Julio,2022,Gratuidad,2830
2022-08-01,Agosto,2022,Prepago,60344
2022-08-01,Agosto,2022,Gratuidad,6209
2022-08-02,Agosto,2022,Prepago,61268
2022-08-02,Agosto,2022,Gratuidad,6034
2022-08-03,Agosto,2022,Prepago,61753
2022-08-03,Agosto,2022,Gratuidad,6044
2022-08-04,Agosto,2022,Prepago,61105
2022-08-04,Agosto,2022,Gratuidad,5963
2022-08-05,Agosto,2022,Prepago,62989
2022-08-05,Agosto,2022,Gratuidad,6071
2022-08-06,Agosto,2022,Prepago,45564
2022-08-06,Agosto,2022,Gratuidad,4056
2022-08-07,Agosto,2022,Prepago,33145
2022-08-07,Agosto,2022,Gratuidad,3287
2022-08-08,Agosto,2022,Prepago,64668
2022-08-08,Agosto,2022,Gratuidad,5365
2022-08-09,Agosto,2022,Prepago,65965
2022-08-09,Agosto,2022,Gratuidad,5988
2022-08-10,Agosto,2022,Prepago,69476
2022-08-10,Agosto,2022,Gratuidad,6265
2022-08-11,Agosto,2022,Prepago,69499
2022-08-11,Agosto,2022,Gratuidad,6202
2022-08-12,Agosto,2022,Prepago,69348
2022-08-12,Agosto,2022,Gratuidad,5962
2022-08-13,Agosto,2022,Prepago,47405
2022-08-13,Agosto,2022,Gratuidad,3800
2022-08-14,Agosto,2022,Prepago,34058
2022-08-14,Agosto,2022,Gratuidad,2875
2022-08-15,Agosto,2022,Prepago,73772
2022-08-15,Agosto,2022,Gratuidad,6461
2022-08-16,Agosto,2022,Prepago,75813
2022-08-16,Agosto,2022,Gratuidad,6199
2022-08-17,Agosto,2022,Prepago,78709
2022-08-17,Agosto,2022,Gratuidad,6080
2022-08-18,Agosto,2022,Prepago,75416
2022-08-18,Agosto,2022,Gratuidad,5267
2022-08-19,Agosto,2022,Prepago,83727
2022-08-19,Agosto,2022,Gratuidad,5647
2022-08-20,Agosto,2022,Prepago,58164
2022-08-20,Agosto,2022,Gratuidad,4067
2022-08-21,Agosto,2022,Prepago,30291
2022-08-21,Agosto,2022,Gratuidad,3258
2022-08-22,Agosto,2022,Prepago,76515
2022-08-22,Agosto,2022,Gratuidad,5757
2022-08-23,Agosto,2022,Prepago,77759
2022-08-23,Agosto,2022,Gratuidad,5823
2022-08-24,Agosto,2022,Prepago,78919
2022-08-24,Agosto,2022,Gratuidad,6559
2022-08-25,Agosto,2022,Prepago,76449
2022-08-25,Agosto,2022,Gratuidad,5822
2022-08-26,Agosto,2022,Prepago,77075
2022-08-26,Agosto,2022,Gratuidad,5898
2022-08-27,Agosto,2022,Prepago,55922
2022-08-27,Agosto,2022,Gratuidad,4448
2022-08-28,Agosto,2022,Prepago,30252
2022-08-28,Agosto,2022,Gratuidad,3071
2022-08-29,Agosto,2022,Prepago,81846
2022-08-29,Agosto,2022,Gratuidad,5157
2022-08-30,Agosto,2022,Prepago,84673
2022-08-30,Agosto,2022,Gratuidad,5669
2022-08-31,Agosto,2022,Prepago,84321
2022-08-31,Agosto,2022,Gratuidad,5828
2022-09-01,Septiembre,2022,Prepago,83988
2022-09-01,Septiembre,2022,Gratuidad,6523
2022-09-02,Septiembre,2022,Prepago,80951
2022-09-02,Septiembre,2022,Gratuidad,6240
2022-09-03,Septiembre,2022,Prepago,55277
2022-09-03,Septiembre,2022,Gratuidad,4649
2022-09-04,Septiembre,2022,Prepago,28666
2022-09-04,Septiembre,2022,Gratuidad,2885
2022-09-05,Septiembre,2022,Prepago,85243
2022-09-05,Septiembre,2022,Gratuidad,6236
2022-09-06,Septiembre,2022,Prepago,88234
2022-09-06,Septiembre,2022,Gratuidad,5247
2022-09-07,Septiembre,2022,Prepago,82896
2022-09-07,Septiembre,2022,Gratuidad,6324
2022-09-08,Septiembre,2022,Prepago,81471
2022-09-08,Septiembre,2022,Gratuidad,5073
2022-09-09,Septiembre,2022,Prepago,82823
2022-09-09,Septiembre,2022,Gratuidad,6417
2022-09-10,Septiembre,2022,Prepago,48293
2022-09-10,Septiembre,2022,Gratuidad,4194
2022-09-11,Septiembre,2022,Prepago,32191
2022-09-11,Septiembre,2022,Gratuidad,3605
2022-09-12,Septiembre,2022,Prepago,84065
2022-09-12,Septiembre,2022,Gratuidad,5718
2022-09-13,Septiembre,2022,Prepago,78854
2022-09-13,Septiembre,2022,Gratuidad,5146
2022-09-14,Septiembre,2022,Prepago,92797
2022-09-14,Septiembre,2022,Gratuidad,5636
2022-09-15,Septiembre,2022,Prepago,73333
2022-09-15,Septiembre,2022,Gratuidad,4635
2022-09-16,Septiembre,2022,Prepago,25760
2022-09-16,Septiembre,2022,Gratuidad,2286
2022-09-17,Septiembre,2022,Prepago,56450
2022-09-17,Septiembre,2022,Gratuidad,4091
2022-09-18,Septiembre,2022,Prepago,26892
2022-09-18,Septiembre,2022,Gratuidad,2674
2022-09-19,Septiembre,2022,Prepago,76228
2022-09-19,Septiembre,2022,Gratuidad,5078
2022-09-20,Septiembre,2022,Prepago,83263
2022-09-20,Septiembre,2022,Gratuidad,5870
