fecha,mes,anio,servicio,tipo_pago,afluencia
2022-01-13,Enero,2022,Ordinario,Boleto,72083
2022-01-13,Enero,2022,Ordinario,Prepago,1715
2022-01-13,Enero,2022,Ordinario,Gratuidad,12498
2022-01-13,Enero,2022,S/Metro,Boleto,41973
2022-01-13,Enero,2022,S/Metro,Prepago,1535
2022-01-13,Enero,2022,S/Metro,Gratuidad,7274
2022-01-14,Enero,2022,Servicios Temporales,Boleto,2284
2022-01-14,Enero,2022,Servicios Temporales,Prepago,0
2022-01-14,Enero,2022,Servicios Temporales,Gratuidad,395
2022-01-14,Enero,2022,Atenea,Boleto,15445
2022-01-14,Enero,2022,Atenea,Prepago,0
2022-01-14,Enero,2022,Atenea,Gratuidad,2670
2022-01-14,Enero,2022,Ecoatenea,Boleto,2337
2022-01-14,Enero,2022,Ecoatenea,Prepago,0
2022-01-14,Enero,2022,Ecoatenea,Gratuidad,404
2022-01-14,Enero,2022,Ecobús,Boleto,23600
2022-01-14,Enero,2022,Ecobús,Prepago,1810
2022-01-14,Enero,2022,Ecobús,Gratuidad,4107
2022-01-14,Enero,2022,Expdirecto,Boleto,1582
2022-01-14,Enero,2022,Expdirecto,Prepago,202
2022-01-14,Enero,2022,Expdirecto,Gratuidad,278
2022-01-14,Enero,2022,Expreso,Boleto,83152
2022-01-14,Enero,2022,Expreso,Prepago,6291
2022-01-14,Enero,2022,Expreso,Gratuidad,14443
2022-01-14,Enero,2022,Nochebús,Boleto,796
2022-01-14,Enero,2022,Nochebús,Prepago,48
2022-01-14,Enero,2022,Nochebús,Gratuidad,64
2022-01-14,Enero,2022,Ordinario,Boleto,69496
2022-01-14,Enero,2022,Ordinario,Prepago,1614
2022-01-14,Enero,2022,Ordinario,Gratuidad,12037
2022-01-14,Enero,2022,S/Metro,Boleto,40270
2022-01-14,Enero,2022,S/Metro,Prepago,1178
2022-01-14,Enero,2022,S/Metro,Gratuidad,6970
2022-01-15,Enero,2022,Servicios Temporales,Boleto,1691
2022-01-15,Enero,2022,Servicios Temporales,Prepago,0
2022-01-15,Enero,2022,Servicios Temporales,Gratuidad,292
2022-01-15,Enero,2022,Atenea,Boleto,6804
2022-01-15,Enero,2022,Atenea,Prepago,0
2022-01-15,Enero,2022,Atenea,Gratuidad,1176
2022-01-15,Enero,2022,Ecoatenea,Boleto,0
2022-01-15,Enero,2022,Ecoatenea,Prepago,0
2022-01-15,Enero,2022,Ecoatenea,Gratuidad,0
2022-01-15,Enero,2022,Ecobús,Boleto,17062
2022-01-15,Enero,2022,Ecobús,Prepago,934
2022-01-15,Enero,2022,Ecobús,Gratuidad,2978
2022-01-15,Enero,2022,Expdirecto,Boleto,430
2022-01-15,Enero,2022,Expdirecto,Prepago,25
2022-01-15,Enero,2022,Expdirecto,Gratuidad,74
2022-01-15,Enero,2022,Expreso,Boleto,50939
2022-01-15,Enero,2022,Expreso,Prepago,3448
2022-01-15,Enero,2022,Expreso,Gratuidad,8839
2022-01-15,Enero,2022,Nochebús,Boleto,950
2022-01-15,Enero,2022,Nochebús,Prepago,24
2022-01-15,Enero,2022,Nochebús,Gratuidad,73
2022-01-15,Enero,2022,Ordinario,Boleto,46214
2022-01-15,Enero,2022,Ordinario,Prepago,1054
2022-01-15,Enero,2022,Ordinario,Gratuidad,8004
2022-01-15,Enero,2022,S/Metro,Boleto,32585
2022-01-15,Enero,2022,S/Metro,Prepago,972
2022-01-15,Enero,2022,S/Metro,Gratuidad,5641
2022-01-16,Enero,2022,Servicios Temporales,Boleto,596
2022-01-16,Enero,2022,Servicios Temporales,Prepago,0
2022-01-16,Enero,2022,Servicios Temporales,Gratuidad,103
2022-01-16,Enero,2022,Atenea,Boleto,3267
2022-01-16,Enero,2022,Atenea,Prepago,0
2022-01-16,Enero,2022,Atenea,Gratuidad,565
2022-01-16,Enero,2022,Ecoatenea,Boleto,0
2022-01-16,Enero,2022,Ecoatenea,Prepago,0
2022-01-16,Enero,2022,Ecoatenea,Gratuidad,0
2022-01-16,Enero,2022,Ecobús,Boleto,10414
2022-01-16,Enero,2022,Ecobús,Prepago,471
2022-01-16,Enero,2022,Ecobús,Gratuidad,1816
2022-01-16,Enero,2022,Expdirecto,Boleto,0
2022-01-16,Enero,2022,Expdirecto,Prepago,0
2022-01-16,Enero,2022,Expdirecto,Gratuidad,0
2022-01-16,Enero,2022,Expreso,Boleto,37386
2022-01-16,Enero,2022,Expreso,Prepago,2281
2022-01-16,Enero,2022,Expreso,Gratuidad,6476
2022-01-16,Enero,2022,Nochebús,Boleto,908
2022-01-16,Enero,2022,Nochebús,Prepago,32
2022-01-16,Enero,2022,Nochebús,Gratuidad,69
2022-01-16,Enero,2022,Ordinario,Boleto,30913
2022-01-16,Enero,2022,Ordinario,Prepago,559
2022-01-16,Enero,2022,Ordinario,Gratuidad,5349
2022-01-16,Enero,2022,S/Metro,Boleto,21191
2022-01-16,Enero,2022,S/Metro,Prepago,782
2022-01-16,Enero,2022,S/Metro,Gratuidad,3669
2022-01-17,Enero,2022,Servicios Temporales,Boleto,2979
2022-01-17,Enero,2022,Servicios Temporales,Prepago,0
2022-01-17,Enero,2022,Servicios Temporales,Gratuidad,515
2022-01-17,Enero,2022,Atenea,Boleto,16156
2022-01-17,Enero,2022,Atenea,Prepago,0
2022-01-17,Enero,2022,Atenea,Gratuidad,2793
2022-01-17,Enero,2022,Ecoatenea,Boleto,2013
2022-01-17,Enero,2022,Ecoatenea,Prepago,0
2022-01-17,Enero,2022,Ecoatenea,Gratuidad,348
2022-01-17,Enero,2022,Ecobús,Boleto,23250
2022-01-17,Enero,2022,Ecobús,Prepago,1745
2022-01-17,Enero,2022,Ecobús,Gratuidad,4034
2022-01-17,Enero,2022,Expdirecto,Boleto,1606
2022-01-17,Enero,2022,Expdirecto,Prepago,237
2022-01-17,Enero,2022,Expdirecto,Gratuidad,283
2022-01-17,Enero,2022,Expreso,Boleto,76894
2022-01-17,Enero,2022,Expreso,Prepago,6083
2022-01-17,Enero,2022,Expreso,Gratuidad,13364
2022-01-17,Enero,2022,Nochebús,Boleto,576
2022-01-17,Enero,2022,Nochebús,Prepago,46
2022-01-17,Enero,2022,Nochebús,Gratuidad,45
2022-01-17,Enero,2022,Ordinario,Boleto,69706
2022-01-17,Enero,2022,Ordinario,Prepago,1475
2022-01-17,Enero,2022,Ordinario,Gratuidad,12080
2022-01-17,Enero,2022,S/Metro,Boleto,41934
2022-01-17,Enero,2022,S/Metro,Prepago,1243
2022-01-17,Enero,2022,S/Metro,Gratuidad,7270
2022-01-18,Enero,2022,Servicios Temporales,Boleto,2623
2022-01-18,Enero,2022,Servicios Temporales,Prepago,0
2022-01-18,Enero,2022,Servicios Temporales,Gratuidad,453
2022-01-18,Enero,2022,Atenea,Boleto,15380
2022-01-18,Enero,2022,Atenea,Prepago,0
2022-01-18,Enero,2022,Atenea,Gratuidad,2659
2022-01-18,Enero,2022,Ecoatenea,Boleto,2252
